density,pH,alcohol,quality,wineType,satisfied,price
0.9978,3.51,9.4,5,R,Yes,11.49
0.9968,3.2,9.8,5,R,Yes,12.71
0.997,3.26,9.8,5,R,Yes,12.73
0.998,3.16,9.8,6,R,No,16.71
0.9978,3.51,9.4,5,R,Yes,11.49
0.9978,3.51,9.4,5,R,Yes,11.59
0.9964,3.3,9.4,5,R,Yes,12.64
0.9946,3.39,10,7,R,No,19.45
0.9968,3.36,9.5,7,R,No,17.79
0.9978,3.35,10.5,5,R,Yes,9.57
0.9959,3.28,9.2,5,R,Yes,12.22
0.9978,3.35,10.5,5,R,Yes,9.57
0.9943,3.58,9.9,5,R,Yes,12.23
0.9974,3.26,9.1,5,R,Yes,12.36
0.9986,3.16,9.2,5,R,Yes,10.76
0.9986,3.17,9.2,5,R,Yes,10.61
0.9969,3.3,10.5,7,R,No,20.47
0.9968,3.11,9.3,5,R,Yes,13.25
0.9974,3.38,9,4,R,Yes,6.25
0.9969,3.04,9.2,6,R,No,16.36
0.9968,3.39,9.4,6,R,No,14.84
0.9982,3.52,9.7,5,R,Yes,11.48
0.9966,3.17,9.5,5,R,Yes,13.38
0.9968,3.17,9.4,5,R,Yes,12.53
0.9968,3.43,9.7,6,R,No,14.57
0.9955,3.34,9.3,5,R,Yes,12.52
0.9962,3.28,9.5,5,R,Yes,12.68
0.9966,3.17,9.5,5,R,Yes,13.38
0.9972,3.47,9.4,5,R,Yes,11.64
0.9964,3.38,9.8,6,R,No,15.4
0.9958,3.35,10.1,5,R,Yes,12.67
0.9966,3.46,10.6,6,R,No,15.88
0.9966,3.17,9.8,5,R,Yes,13.16
0.9993,3.45,9.4,6,R,No,5.65
0.9957,3.38,9.2,5,R,Yes,11.81
0.9986,3.4,9.6,6,R,No,11.44
0.9975,3.42,10.8,6,R,No,16.55
0.9968,3.23,9.7,7,R,No,18.92
0.994,3.5,9.8,4,R,Yes,9.7
0.9978,3.33,10.5,5,R,Yes,9.87
0.9978,3.33,10.5,5,R,Yes,9.87
0.9976,3.26,9.3,4,R,Yes,8.61
0.9968,3.21,10.5,6,R,No,17.03
0.9968,3.3,10.3,5,R,Yes,13.41
0.9962,3.48,9.5,5,R,Yes,11.85
0.9934,3.9,13.1,4,R,Yes,11.34
0.997,3.25,9.2,5,R,Yes,11.95
0.9969,3.25,9.5,5,R,Yes,13.02
0.9958,3.34,9.2,5,R,Yes,12.17
0.9954,3.32,9.2,5,R,Yes,12.46
0.9971,3.15,9.2,5,R,Yes,12.9
0.9956,3.4,9.4,6,R,No,14.39
0.9955,3.39,9.4,6,R,No,14.54
0.997,3.2,9.4,5,R,Yes,11.69
0.9955,3.17,10.2,6,R,No,16.51
0.9978,3.34,9.5,5,R,Yes,10.42
0.9971,3.04,9.6,5,R,Yes,12.39
0.9983,3.26,9.4,5,R,Yes,9.32
0.9975,3.43,10,5,R,Yes,12.28
0.9962,3.41,9.4,6,R,No,14.14
0.998,3.44,9.2,5,R,Yes,11.17
0.9968,3.21,9.3,5,R,Yes,12.69
0.9968,3.38,9.5,7,R,No,17.77
0.9966,3.39,9.8,5,R,Yes,12.45
0.9962,3.41,10.9,5,R,Yes,11.33
0.9962,3.41,10.9,5,R,Yes,11.33
0.9968,3.42,9.6,5,R,Yes,12.54
0.9962,3.44,10.7,5,R,Yes,13.95
0.9969,3.28,10.7,5,R,Yes,14.31
0.9962,3.34,10.5,6,R,No,16.96
0.9967,3.32,9.5,6,R,No,15.27
0.9962,3.32,9.5,5,R,Yes,12.21
0.9961,3.31,9.5,5,R,Yes,12.45
0.9976,3.31,9.2,4,R,Yes,9.02
0.9984,3.28,9.6,5,R,Yes,12.13
0.9986,3.54,10.5,5,R,Yes,12.63
0.9986,3.54,10.5,5,R,Yes,12.63
0.9966,3.52,10.7,6,R,No,15.84
0.9958,3.38,10.1,5,R,Yes,12.94
0.9972,3.16,9.1,4,R,Yes,10.02
0.9958,3.41,9.2,5,R,Yes,11.89
0.9974,3.13,9.4,5,R,Yes,13.12
0.997,3.36,9.1,5,R,Yes,11.54
0.9969,3.16,9.4,5,R,Yes,13.07
0.9959,3.44,10.3,6,R,No,16.17
0.9961,3.41,10.1,5,R,Yes,12.61
0.9972,2.93,9.9,6,R,No,18.37
0.9966,3.39,9.6,5,R,Yes,12.26
0.9978,3.14,9.5,5,R,Yes,13.03
0.9978,3.48,9,5,R,Yes,11.13
0.9964,3.23,9.5,5,R,Yes,12.81
0.9972,2.93,9.9,6,R,No,18.37
0.9972,2.93,9.8,5,R,Yes,14.72
0.9966,3.39,9.6,5,R,Yes,12.26
0.9938,3.75,10.5,4,R,Yes,9.8
0.9932,3.85,12.9,6,R,No,17.8
0.9965,3.45,10.7,5,R,Yes,12.51
0.9963,3.25,9.2,5,R,Yes,12.15
